original_column_name,desc_en,column_name
Sr No,Serial Number,serial_number
District Name,District Name,district_name
BlockTown,Block/Town,block_town
AreaType,Area Type,area_type
School Name,School Name,school_name
Udise Code,Udise Code,udise_code
SchoolType,School Type,school_type
Mentor Name,Mentor Name,mentor_name
Mobile No,Mobile Number,mobile_number
Designation,Designation,designation
InspectionDate,Inspection Date,inspection_date
TimeSpent,Time Spent,time_spent
TotalStudent,Total Student,total_student
क्या विद्यालय में एक ही कक्षा कक्ष में एक से अधिक कक्षाओं का संचालन हो रहा है,Is more than one class being conducted in the same classroom in the school,multiple_classes_in_same_room
क्या विद्यालय में सक्रिय पुस्तकालय संचालित है  (बच्चो से वार्ता कर यह ज्ञात किया जाए की क्या लाइब्रेरी की किताबे उनके द्वारा पढ़ी जा रही है ),Is an active library being operated in the school (talk to the children to find out if they are reading the library books),active_library_operation
Awalokit Kaksha,Observed Class,observed_class
Awalokit Subject,Observed Subject,observed_subject
Teacher Name Awalokan,Teacher Name Observation,teacher_name_observation
Awakon Teacher Mobile Number,Observation Teacher Mobile Number,observation_teacher_mobile_number
1. शिक्षक संदर्शिका के अनुसार शिक्षक किस सप्ताह का शिक्षण-कार्य कर रहे हैं (वार्षिक ट्रेकर में दर्ज जानकारी के आधार पर),"1. According to the teacher's directory, which week's teaching work is the teacher doing (based on the information recorded in the annual tracker)",teacher_weekly_work_based_on_annual_tracker
9. क्या शिक्षक द्वारा बच्चों के वर्तमान अधिगम स्तर को जानने का प्रयास किया जा है,9. Is the teacher making an effort to understand the current learning level of the children,teacher_understanding_current_learning_level
6. क्या शिक्षक सभी बच्चों को प्रतिभाग करने के समान अवसर दे रहे हैं,6. Is the teacher giving equal opportunities to all children to participate,teacher_giving_equal_opportunities
5. क्या शिक्षक द्वारा बच्चों के साथ समूह कार्य कराया जा रहा है,5. Is the teacher conducting group work with the children,teacher_conducting_group_work
7 क्या पुस्तकालय-रीडिंग कॉर्नर का बच्चों द्वारा नियमित प्रयोग किया जा रहा है,7. Is the library-reading corner being regularly used by the children,library_reading_corner_usage
8 क्या विद्यालय में खेल सामग्री नियमित उपयोग की जा रही है,8. Is the sports equipment in the school being regularly used,sports_equipment_usage
Bluetooth Speaker,Bluetooth Speaker,bluetooth_speaker
FeedBack Satra Sanchaalit,Feedback Session Conducted,feedback_session_conducted
2. क्या शिक्षक द्वारा अपनी आज की कक्षा संबंधी विचार प्रस्तुत किये गये,2. Were the teacher's thoughts about today's class presented,teacher_thoughts_presented
3. शिक्षक द्वारा रखे गए विचार की 02 मुख्य बातें लिखिए। (100 शब्द से कम),3. Write the two main points of the thoughts presented by the teacher. (Less than 100 words),teacher_thoughts_main_points
4. क्या आपने शिक्षक को उनकी कक्षा प्रक्रिया- शिक्षण कौशल संबंधी मुख्य सकारात्मक एवं प्रेरक बातें बताई,4. Did you tell the teacher the main positive and inspiring things related to their class process-teaching skills,positive_feedback_given
"5. ऐसी दो मुख्य सकारात्मक, सुधार के क्षेत्र एवं प्रेरक बातें लिखिये जो आप द्वारा शिक्षक के साथ साझा की गई | (100 शब्द से कम)","5. Write two main positive, improvement areas and inspiring things that you shared with the teacher (Less than 100 words)",shared_positive_improvements_with_teacher
1. क्या आवश्यकता पर आधारित मॉडल शिक्षण-अधिगम प्रक्रिया का प्रदर्शन(demonstration) किया गया,1. Was a demonstration of the need-based model teaching-learning process done?,need_based_teaching_demo_done
1.1 आपने मॉडल शिक्षण-अधिगम प्रक्रिया का प्रदर्शन(demonstration) किस कक्षा में किया,1.1 In which class did you demonstrate the model teaching-learning process?,class_of_teaching_demo
1.2 आपने मॉडल शिक्षण-अधिगम प्रक्रिया का प्रदर्शन(demonstration) किस विषय और अध्याय के लिए किया (100 शब्द से कम),1.2 For which subject and chapter did you demonstrate the model teaching-learning process? (Less than 100 words),subject_of_teaching_demo
1.3 आपने मॉडल शिक्षण-अधिगम प्रक्रिया का प्रदर्शन(demonstration) कितने समय तक किया,1.3 How long did you demonstrate the model teaching-learning process?,duration_of_teaching_demo
1.4 आपने मॉडल शिक्षण-अधिगम प्रक्रिया के प्रदर्शन(demonstration) में मुख्यतः किस विधा का प्रयोग किया,1.4 What type of method did you mainly use in the demonstration of the model teaching-learning process,type_of_method_used_in_demonstration
1. क्या आपने अपने मुख्य अवलोकन बिंदु व सुझाओं को लेकर प्रधानाध्यापक एवं सभी शिक्षकों के साथ संयुक्त रूप से संवाद किया,1. Did you have a joint dialogue with the principal and all teachers regarding your main observation points and suggestions,dialogue_with_principal_and_teachers
1.1 ये संवाद सत्र कितनी देर चला,1.1 How long did this dialogue session last,duration_of_dialogue_session
1.2 आपने प्रधानाध्यापक एवं सभी शिक्षकों के साथ संयुक्त रूप से संवाद में क्या बातें की  (100 शब्द से कम),1.2 What did you discuss in the joint dialogue with the principal and all teachers (less than 100 words),discussion_points_with_principal_and_teachers
"1. आज के कक्षा अवलोकन, मॉडल शिक्षण-अधिगम प्रक्रिया के प्रदर्शन तथा फीडबैक सत्र के पश्चात क्या आपने वर्तमान विद्यालय के संबंध में स्वयं के लिये आगामी कार्य हेतु मुख्य कार्य बिंदुओं का निर्धारण किया","1. After today's class observation, demonstration of the model teaching-learning process and feedback session, did you determine the main action points for future work in relation to the current school",future_action_points_for_current_school
आगामी कार्य हेतु 02 मुख्य कार्य बिन्दु (Key Follow-up action points) लिखें। (इसमे मुख्यतः यह लिखना है की आप निकट भविष्य में किस प्रकार इस विद्यालय को निपुण भारत के रूप में विकसित करेगे | यह शिक्षक के साथ साझा किये गए मुख्य सुधार के बिंधुओ पर आधारित होगा |) (100 शब्द से कम),Write 02 main action points for upcoming work (Key Follow-up action points). (Mainly write about how you will develop this school into a proficient India in the near future. This will be based on the main improvement points shared with the teacher.) (Less than 100 words),upcoming_work_action_points
"कक्षा-कक्ष में कविता पोस्टर, कहानी पोस्टर एवं गणित पोस्टर का प्रदर्शन दीवारों पर कैसे किया गया है","How have poetry posters, story posters, and math posters been displayed on the walls in each class?",classroom_poster_display
क्या शिक्षक ने प्रत्येक गतिविधि कराने के लिए उचित शिक्षण सामग्री का उपयोग किया है,Has the teacher used appropriate teaching materials for each activity?,teacher_material_use
क्या बातचीत के दौरान बच्चों को अपनी भाषा में बात करने के मौके और प्रोत्साहन दिए गए,Were children given opportunities and encouragement to speak in their language during conversation?,language_opportunity_encouragement
क्या शिक्षण योजना के अनुसार नियमित आकलन किया जाता है और कार्यपुस्तिका में दर्ज किया गया है (पिछले 2 सप्ताहों के कार्य के आधार पर),Is regular assessment done according to the teaching plan and recorded in the workbook (based on the work of the last 2 weeks)?,teaching_plan_assessment
क्या शिक्षक बच्चों के साथ समूह कार्य एवं सहपाठी समूह अधिगम किया जा रहा है,Is the teacher doing group work and peer group learning with the children,is_teacher_doing_group_work
क्या बच्चों द्वारा प्रति दिन लेखन कार्य किया जा रहा है,Are the children doing writing work every day,are_children_writing_daily
Namankit Balako ki Sankhya,Number of Registered Boys,number_of_registered_boys
Namankit Balikaon ki Sankhya,Number of Registered Girls,number_of_registered_girls
Divyang Bachho ki Sankhya,Number of Disabled Children,number_of_disabled_children
Upasthit Balako ki Sankhya,Number of Present Boys,number_of_present_boys
Upasthit Balikaon ki Sankhya,Number of Present Girls,number_of_present_girls
Total Karyarat Teacher,Total Working Teachers,total_working_teachers
Total Female Karyarat Teacher,Total Working Female Teachers,total_working_female_teachers
Total Male Karyarat Teacher,Total Working Male Teachers,total_working_male_teachers
Fill Diary By Teacher,Diary Filled by Teacher,diary_filled_by_teacher
Sikshak Kahani Sunate Samaya kya kya kr rahe hai,What is the Teacher Doing While Narrating the Story,teacher_actions_while_narrating
2. कक्षा में कौन-सी गतिविधि की जा रही है,2. Which Activity is Being Conducted in the Class,class_activity
2A.1 क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजना के चरणों के अनुसार कराया गया हैं,2A.1 Has the Activity Been Conducted According to the Steps Described in the Teacher's Guide,activity_as_per_guide
2A.2 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे शिक्षण कार्य में भाग ले रहे है,"2A.2 During the Activity, are 70% or More Children Participating in the Teaching Work",student_participation_in_activity
2B. शिक्षक चर्चा के दौरान क्या- क्या कर रहे हैं,2B. What is the teacher doing during the discussion,teacher_activities_during_discussion
2B.1 क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजना के चरणों के अनुसार कराया गया है,2B.1 Has the activity been conducted according to the steps described in the teacher's guide,activity_conducted_as_per_guide
2B.2 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे शिक्षण कार्य में भाग ले रहे हैं,"2B.2 During the activity in class, are 70% or more children participating in the teaching work",children_participation_in_activity
2C शिक्षक वर्ण-मात्रा पहचान और ब्लेंडिंग में क्या-क्या कर रहे है,2C What is the teacher doing in identifying letters and blending,teacher_activities_in_letter_identification
2C.1 क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजना के चरणों के अनुसार कराया गया है,2C.1 Has the activity been conducted according to the steps described in the teacher's guide,activity_conducted_as_per_guide_2
2C.2 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे शिक्षण कार्य में भाग ले रहे है,"During the activity in the class, are 70% or more children participating in the teaching work",participation_in_teaching_activity
2D शिक्षक शब्द -वाक्य के पठन अभ्यास में क्या-क्या कर रहे हैं,What are the teachers doing in the practice of reading words - sentences,teacher_reading_practice
2D.1 क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजना के चरणों के अनुसार कराया गया है,Has the activity been conducted according to the steps of the teaching plan described in the teacher's guide,activity_conducted_as_per_plan
2D.2 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे शिक्षण कार्य में भाग ले रहे हैं,"During the activity in the class, are 70% or more children participating in the teaching work",participation_in_teaching_activity_2
2E. शिक्षक पठन प्रक्रिया में क्या-क्या कर रहे हैं,What are the teachers doing in the reading process,teacher_reading_process
2E.1 क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजना के चरणों के अनुसार कराया गया है,2E.1 Has the activity been conducted according to the steps described in the teacher's guide?,activity_conducted_as_per_guide_2e1
2E.2 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे शिक्षण कार्य में भाग ले रहे हैं,"2E.2 During the activity in the class, are 70% or more children participating in the teaching work?",children_participation_in_activity_2e2
2F. शिक्षक लेखन प्रक्रिया में क्या-क्या कर रहे है,2F. What is the teacher doing in the writing process?,teacher_role_in_writing_process_2f
2F.1 क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजना के चरणों के अनुसार कराया गया है,2F.1 Has the activity been conducted according to the steps described in the teacher's guide?,activity_conducted_as_per_guide_2f1
2F.2 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे शिक्षण कार्य में भाग ले रहे हैं,"2F.2 During the activity in the class, are 70% or more children participating in the teaching work?",children_participation_in_activity_2f2
शिक्षक संदर्शिका के अनुसार शिक्षक किस सप्ताह का शिक्षण-कार्य कर रहे हैं,Which week's teaching work is the teacher doing according to the teacher's guide,teaching_week_according_to_guide
क्या शिक्षक को वार्षिक योजना के साप्ताहिक शिक्षण उद्देश्यों की स्पष्टता है (संदर्शिका के अनुसार),Does the teacher have clarity of the weekly teaching objectives of the annual plan (according to the guide),clarity_of_weekly_objectives
कक्षा में दैनिक योजना के किस भाग पर कार्य किया जा रहा है (संदर्शिका के अनुसार),Which part of the daily plan is being worked on in the class (according to the guide),part_of_daily_plan_being_worked_on
4 A.1 कक्षा कार्य के दौरान शिक्षक क्या-क्या कर रहे हैं,What is the teacher doing during the class work,teacher_activities_during_class
"4 A.2 शिक्षक कार्य के दौरान अवधारणा की समझ (संख्या ज्ञान, जोड़, पैटर्न, ज्यामिति और मापन आदि) के लिए क्या-क्या कर रहे हैं","What is the teacher doing to understand the concept (number knowledge, addition, pattern, geometry and measurement etc.) during the work",teacher_activities_for_concept_understanding
4 A.3 कक्षा में गतिविधि के दौरान क्या 70% या अधिक बच्चे भाग ले रहे हैं,"During class activities, are 70% or more children participating",class_activity_participation
4 B 1. शिक्षक कार्यपुस्तिका में दिए गये प्रश्नों को हल करने के लिए,For solving the questions given in the teacher's workbook,solving_teacher_workbook_questions
4 B 2. कार्यपुस्तिका में दिए गए प्रश्नों को हल करते समय शिक्षक,Teacher while solving the questions given in the workbook,teacher_solving_workbook_questions
यह शिक्षण योजना शिक्षक द्वारा तैयार की गई भी हो सकती है एवं सहायक पुस्तक में दी गयी भी हो सकती है,This teaching plan can also be prepared by the teacher and can also be given in the help book,teaching_plan_source
2. क्या शिक्षण योजना में लर्निंग आउटकम का स्पष्ट उल्लेख किया गया है,Is the learning outcome clearly mentioned in the teaching plan,learning_outcome_in_plan
क्या यह शिक्षण योजना सभी अधिगम स्तर के छात्रों को ध्यान में रखकर तैयार की गई है,Is this teaching plan prepared keeping in mind all students of learning level,teaching_plan_for_all_levels
"क्या शिक्षक द्वारा प्रयुक्त TLM जैसे कहानी की किताबें आदि शिक्षण प्रक्रिया में सहायक एवं प्रासंगिक हैं (किट,किताबों और TLM बच्चो को सुलभ होने चाहिए,आलमारी में बंद नहीं होने चाहिए |)","Are the TLMs like story books etc. used by the teacher helpful and relevant in the teaching process (kits, books and TLM should be accessible to children, should not be locked in the cupboard)",tlm_usage_and_accessibility
क्या शिक्षक द्वारा आज की शिक्षण योजना तैयार की गयी है,Has today's teaching plan been prepared by the teacher,today_teaching_plan_prepared
"क्या गतिविधि को शिक्षक संदर्शिका में वर्णित शिक्षण योजनायों(अनुदेशात्मक,समेकन और रेमिडियल) के चरणों अनुसार कराया गया है","Has the activity been conducted according to the stages described in the teacher's guide teaching plans (instructional, integration and remedial)",activity_conducted_as_per_plan
कक्षा में विभाग द्वारा उपलब्ध करायी गई कितनी प्रिंट समृद्ध (प्रिंट रिच) सामग्री का प्रदर्शन दीवारों पर किया गया है,How much print rich material provided by the department has been displayed on the walls in the classroom,print_rich_material_displayed
7.1 कक्षा में विभाग द्वारा भेजी गई कितनी प्रिंट समृद्ध (प्रिंट रिच) सामग्री का प्रदर्शन दीवारों पर किया गया है,7.1 How much print rich material sent by the department in the class has been displayed on the walls,displayed_print_rich_material
7.2 कक्षा-कक्ष में प्रिंट समृद्ध (प्रिंट रिच) सामग्री का प्रदर्शन दीवारों पर कैसे किया गया है,7.2 How is the print rich material displayed on the walls in each class,print_rich_material_display_method
7.2 कक्षा-कक्ष में प्रिंट समृद्ध (प्रिंट रिच) सामग्री का प्रदर्शन दीवारों पर कैसे किया गया है.1,7.2 How is the print rich material displayed on the walls in each class.1,print_rich_material_display_method_1
1. क्या कक्षा-1 में स्कूल रेडीनेस -12 सप्ताह के गतिविधि कलेंडर प्रिंट-चार्ट के रूप में उपलप्ध है,1. Is the school readiness -12 week activity calendar available as a print-chart in class-1,class1_school_readiness_calendar_availability
Month,Month,month
